User #1, #input: 13, recommendations: 30
  User #1, P@10 = [0.2], R@10 = [0.153846], nDCG@10 = [0.108731]
User #2, #input: 5, recommendations: 9
  User #2, P@10 = [0], R@10 = [0], nDCG@10 = [0]
User #3, #input: 37, recommendations: 161
  User #3, P@10 = [0.5], R@10 = [0.135135], nDCG@10 = [0.472133]
User #4, #input: 30, recommendations: 108
  User #4, P@10 = [0.1], R@10 = [0.0333333], nDCG@10 = [0.110046]
User #5, #input: 15, recommendations: 64
  User #5, P@10 = [0], R@10 = [0], nDCG@10 = [0]
User #6, #input: 60, recommendations: 185
  User #6, P@10 = [0.5], R@10 = [0.0833333], nDCG@10 = [0.335065]
User #7, #input: 43, recommendations: 115
  User #7, P@10 = [0.2], R@10 = [0.0465116], nDCG@10 = [0.134757]
User #8, #input: 24, recommendations: 64
  User #8, P@10 = [0.3], R@10 = [0.125], nDCG@10 = [0.170508]
User #9, #input: 46, recommendations: 113
  User #9, P@10 = [0.4], R@10 = [0.0869565], nDCG@10 = [0.234291]
User #10, #input: 12, recommendations: 54
  User #10, P@10 = [0.2], R@10 = [0.166667], nDCG@10 = [0.106835]
User #11, #input: 34, recommendations: 56
  User #11, P@10 = [0.2], R@10 = [0.0588235], nDCG@10 = [0.114545]
User #12, #input: 35, recommendations: 93
  User #12, P@10 = [0.2], R@10 = [0.0571429], nDCG@10 = [0.117466]
User #13, #input: 9, recommendations: 29
  User #13, P@10 = [0.1], R@10 = [0.111111], nDCG@10 = [0.0538456]
User #14, #input: 30, recommendations: 109
  User #14, P@10 = [0.1], R@10 = [0.0333333], nDCG@10 = [0.0501084]
User #15, #input: 29, recommendations: 55
  User #15, P@10 = [0.1], R@10 = [0.0344828], nDCG@10 = [0.0509244]
User #16, #input: 25, recommendations: 51
  User #16, P@10 = [0], R@10 = [0], nDCG@10 = [0]
User #17, #input: 36, recommendations: 169
  User #17, P@10 = [0.4], R@10 = [0.111111], nDCG@10 = [0.458525]
User #18, #input: 59, recommendations: 140
  User #18, P@10 = [0.7], R@10 = [0.118644], nDCG@10 = [0.392902]
User #19, #input: 40, recommendations: 118
  User #19, P@10 = [0.2], R@10 = [0.05], nDCG@10 = [0.132244]
User #20, #input: 65, recommendations: 169
  User #20, P@10 = [0.3], R@10 = [0.0461538], nDCG@10 = [0.233144]
User #21, #input: 53, recommendations: 118
  User #21, P@10 = [0.2], R@10 = [0.0377358], nDCG@10 = [0.149811]
User #22, #input: 66, recommendations: 166
  User #22, P@10 = [0.3], R@10 = [0.0454545], nDCG@10 = [0.289977]
User #23, #input: 30, recommendations: 135
  User #23, P@10 = [0.5], R@10 = [0.166667], nDCG@10 = [0.5086]
User #24, #input: 12, recommendations: 37
  User #24, P@10 = [0.2], R@10 = [0.166667], nDCG@10 = [0.117179]
User #25, #input: 15, recommendations: 35
  User #25, P@10 = [0.3], R@10 = [0.2], nDCG@10 = [0.219161]
User #26, #input: 12, recommendations: 20
  User #26, P@10 = [0], R@10 = [0], nDCG@10 = [0]
User #27, #input: 17, recommendations: 65
  User #27, P@10 = [0.2], R@10 = [0.117647], nDCG@10 = [0.123098]
User #28, #input: 75, recommendations: 208
  User #28, P@10 = [0.8], R@10 = [0.106667], nDCG@10 = [0.688059]

Average nDCGs: 0.191856
Average Precision: 0.257143
Average Recall: 0.0818722
